"Table 11. Poverty Gap with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";2.6;3.0;2.2;0.1;0.1;0.1;2.5;2.9;2.2;2.7;3.1;2.3
"..National Capital Region (NCR) 1/, 2/, 3/";0.2;0.3;0.1;0.0;0.0;0.0;0.2;0.3;0.1;0.3;0.4;0.2
"....1st District 1/";0.4;0.1;0.3;0.1;0.0;0.1;0.2;0.0;0.1;0.6;0.2;0.5
"....2nd District 2/, 3/";0.2;0.3;0.1;0.0;0.1;0.0;0.1;0.2;0.1;0.3;0.4;0.1
"....3rd District 2/, 3/";0.4;0.5;0.2;0.1;0.1;0.0;0.2;0.3;0.1;0.5;0.6;0.2
"....4th District 1/, 2/";0.1;0.4;0.1;0.0;0.1;0.0;0.1;0.3;0.1;0.1;0.5;0.2
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";1.8;1.3;0.7;0.1;0.1;0.1;1.6;1.2;0.6;2.0;1.5;0.9
"....Abra 3/";3.4;3.1;1.9;0.4;0.4;0.5;2.7;2.3;1.0;4.2;3.8;2.8
"....Apayao 1/, 3/";3.4;0.9;0.5;0.5;0.2;0.2;2.4;0.4;0.1;4.3;1.3;0.9
"....Benguet 2/, 3/";0.9;0.8;0.4;0.2;0.1;0.1;0.6;0.6;0.2;1.2;1.0;0.6
"....Ifugao 3/";1.6;1.0;0.6;0.3;0.2;0.1;1.0;0.6;0.4;2.3;1.4;0.9
"....Kalinga 2/, 3/";1.7;1.1;0.3;0.3;0.3;0.1;1.1;0.6;0.2;2.3;1.6;0.5
"....Mt. Province 2/, 3/";4.0;3.1;1.8;0.5;0.4;0.3;3.0;2.3;1.2;5.0;3.8;2.3
"..Region I (Ilocos Region) 1/, 2/";1.2;2.3;1.6;0.1;0.2;0.2;0.9;1.9;1.2;1.4;2.7;2.0
"....Ilocos Norte 2/, 3/";0.3;0.2;0.0;0.1;0.1;0.0;0.2;0.1;0.0;0.5;0.4;0.1
"....Ilocos Sur 1/, 2/";0.9;2.4;0.9;0.2;0.3;0.2;0.6;1.7;0.6;1.2;3.0;1.2
"....La Union 1/, 3/";0.4;1.2;1.2;0.1;0.2;0.2;0.2;0.9;0.7;0.6;1.5;1.6
"....Pangasinan 1/";1.6;3.0;2.2;0.2;0.3;0.3;1.2;2.4;1.5;2.1;3.6;2.8
"..Region II (Cagayan Valley) 2/, 3/";2.4;2.4;1.2;0.2;0.2;0.1;2.0;1.9;1.0;2.8;2.9;1.5
"....Batanes 1/, 3/";1.2;0.4;0.6;0.2;0.1;0.2;0.8;0.2;0.2;1.7;0.6;0.9
"....Cagayan 1/, 3/";2.4;1.3;1.1;0.3;0.2;0.2;1.8;0.9;0.6;3.0;1.7;1.5
"....Isabela 2/, 3/";2.6;3.4;1.4;0.3;0.5;0.2;1.9;2.5;0.9;3.2;4.3;1.9
"....Nueva Vizcaya 2/, 3/";2.4;2.3;1.3;0.4;0.5;0.2;1.6;1.4;0.8;3.1;3.2;1.7
"....Quirino 1/, 3/";1.5;1.0;0.9;0.2;0.2;0.2;1.1;0.7;0.6;1.9;1.3;1.2
"..Region III (Central Luzon) 1/, 2/";0.9;1.6;1.0;0.1;0.1;0.1;0.8;1.3;0.8;1.1;1.8;1.1
"....Aurora 1/, 2/";2.2;3.6;1.8;0.4;0.5;0.2;1.5;2.6;1.4;2.9;4.6;2.2
"....Bataan";1.1;1.6;1.2;0.2;0.3;0.2;0.7;1.1;0.9;1.5;2.1;1.5
"....Bulacan 1/, 2/";0.6;1.6;0.9;0.2;0.3;0.1;0.3;1.0;0.6;0.9;2.3;1.2
"....Nueva Ecija";1.1;1.7;1.0;0.2;0.3;0.2;0.8;1.1;0.6;1.5;2.2;1.4
"....Pampanga 2/";0.3;0.4;0.1;0.1;0.1;0.0;0.1;0.3;0.1;0.6;0.6;0.2
"....Tarlac";1.2;1.6;1.4;0.2;0.2;0.4;0.8;1.2;0.5;1.5;2.0;2.2
"....Zambales 1/, 2/";2.5;3.9;2.4;0.4;0.4;0.3;1.8;3.2;1.9;3.2;4.6;2.9
"..Region IV-A (CALABARZON) 1/, 2/";0.9;1.4;0.9;0.1;0.1;0.1;0.8;1.2;0.7;1.1;1.6;1.0
"....Batangas 1/, 3/";1.5;0.7;0.8;0.2;0.2;0.2;1.1;0.4;0.5;1.9;1.0;1.1
"....Cavite 2/";0.8;1.3;0.7;0.2;0.3;0.2;0.4;0.8;0.4;1.1;1.8;1.0
"....Laguna 1/, 3/";0.4;1.4;0.9;0.1;0.3;0.2;0.2;0.9;0.6;0.5;1.9;1.2
"....Quezon 1/, 2/, 3/";1.9;3.6;1.0;0.4;0.5;0.2;1.2;2.7;0.6;2.7;4.5;1.4
"....Rizal 2/, 3/";0.6;0.6;1.2;0.1;0.1;0.2;0.3;0.4;0.8;0.9;0.9;1.6
"..MIMAROPA Region 1/, 3/";2.3;3.5;3.6;0.2;0.3;0.4;1.9;3.0;2.9;2.6;4.0;4.3
"....Marinduque 2/, 3/";2.1;2.9;1.4;0.3;0.3;0.2;1.6;2.3;1.0;2.7;3.5;1.8
"....Occidental Mindoro 1/";4.0;6.1;5.6;0.7;0.8;1.2;2.6;4.7;3.3;5.4;7.6;7.9
