"Table 12. Severity of Poverty with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";0.9;1.0;0.7;0.0;0.0;0.0;0.8;1.0;0.7;0.9;1.1;0.8
"..National Capital Region (NCR) **, 2/, 3/";0.1;0.1;-;0.0;0.0;-;0.0;0.1;-;0.1;0.1;-
"....1st District **, 1/";0.1;-;0.1;0.0;0.0;0.0;0.0;-;0.0;0.2;-;0.2
"....2nd District **, 2/";0.1;0.1;-;0.0;0.0;-;0.0;0.0;-;0.1;0.1;-
"....3rd District **, 2/, 3/";0.1;0.1;-;0.0;0.0;-;0.0;0.1;-;0.2;0.2;-
"....4th District **, 1/, 2/";-;0.1;-;-;0.0;-;-;0.1;-;-;0.1;-
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";0.6;0.4;0.2;0.0;0.0;0.0;0.5;0.3;0.1;0.7;0.5;0.3
"....Abra";1.1;0.9;0.6;0.2;0.2;0.2;0.8;0.6;0.3;1.4;1.2;1.0
"....Apayao 1/, 3/";1.0;0.2;0.1;0.2;0.1;0.1;0.7;0.1;0.0;1.4;0.4;0.2
"....Benguet 2/, 3/";0.3;0.2;0.1;0.1;0.0;0.0;0.2;0.2;0.0;0.4;0.3;0.2
"....Ifugao 3/";0.4;0.3;0.1;0.1;0.1;0.0;0.2;0.1;0.1;0.6;0.4;0.2
"....Kalinga 2/, 3/";0.5;0.3;0.1;0.1;0.1;0.0;0.3;0.1;0.0;0.7;0.5;0.1
"....Mt. Province 2/, 3/";1.3;0.9;0.5;0.2;0.1;0.1;0.9;0.6;0.3;1.7;1.1;0.6
"..Region I (Ilocos Region) 1/, 2/";0.3;0.7;0.5;0.1;0.1;0.1;0.2;0.6;0.3;0.4;0.9;0.6
"....Ilocos Norte **";0.1;0.0;-;0.0;0.0;-;0.0;0.0;-;0.1;0.1;-
"....Ilocos Sur 1/, 2/";0.2;0.8;0.2;0.0;0.1;0.1;0.1;0.5;0.1;0.3;1.0;0.3
"....La Union 1/, 3/";0.1;0.3;0.3;0.0;0.1;0.1;0.0;0.2;0.2;0.1;0.5;0.5
"....Pangasinan 1/, 2/";0.4;1.0;0.6;0.1;0.1;0.1;0.3;0.7;0.4;0.6;1.2;0.8
"..Region II (Cagayan Valley) 2/, 3/";0.7;0.8;0.3;0.1;0.1;0.1;0.6;0.6;0.2;0.8;0.9;0.4
"....Batanes 1/";0.3;0.1;0.2;0.1;0.0;0.1;0.2;0.0;0.0;0.5;0.1;0.3
"....Cagayan 1/, 3/";0.7;0.4;0.3;0.1;0.1;0.1;0.5;0.2;0.1;0.9;0.5;0.5
"....Isabela 2/, 3/";0.8;1.1;0.3;0.1;0.2;0.1;0.5;0.7;0.2;1.0;1.5;0.5
