"Table 15. Grouping of Provinces based on 2023 Full Year Poverty Incidence among Families, by Province:  2018, 2021, and 2023"

"Province";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2018 Group d/";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2018 Poverty Incidence";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2018 95% Confidence Interval (Lower Limit)";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2018 95% Confidence Interval (Upper Limit)";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2021 Group d/";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2021 Poverty Incidence";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2021 95% Confidence Interval (Lower Limit)";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2021 95% Confidence Interval (Upper Limit)";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2023 Group d/";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2023 Poverty Incidence";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2023 95% Confidence Interval (Lower Limit)";"(where Group 1 indicates the bottom (poorest) grouping of provinces) 2023 95% Confidence Interval (Upper Limit)"
"Basilan";1;66.3;62.0;70.7;2;42.5;37.3;47.7;3;33.7;29.4;38.1
"Cotabato City";3;35.2;30.5;39.9;3;31.3;26.3;36.3;3;33.3;27.7;38.9
"Maguindanao";2;40.6;34.7;46.6;4;29.8;24.9;34.6;3;30.4;27.2;33.5
"Maguindanao del Sur";..;..;..;..;..;..;..;..;3;32.1;27.2;37.0
"Tawi-tawi b/";5;15.1;12.4;17.7;4;28.1;22.4;33.9;3;32.3;26.2;38.4
"Zamboanga del Norte";3;36.9;31.6;42.3;2;40.8;36.1;45.4;3;37.7;32.5;43.0
"Agusan del Sur";3;30.6;26.3;34.8;3;33.4;29.2;37.5;4;23.4;19.3;27.5
"Bukidnon";4;22.3;19.1;25.5;4;22.8;18.7;26.9;4;20.2;16.7;23.8
"Camarines Sur";4;21.0;17.4;24.5;4;29.8;25.7;33.9;4;22.4;18.9;26.0
"Catanduanes";5;14.4;11.9;16.8;5;16.8;13.9;19.7;4;23.5;19.8;27.2
"Davao Oriental";4;27.7;24.1;31.3;4;21.8;18.3;25.3;4;29.1;25.5;32.6
"Dinagat Islands a/, b/";4;26.5;21.2;31.8;4;26.1;20.8;31.3;4;23.1;19.3;27.0
"Eastern Samar";2;40.9;36.7;45.1;4;29.4;24.7;34.1;4;24.7;20.8;28.6
"Lanao del Norte";5;19.0;16.5;21.6;4;25.5;21.9;29.2;4;25.2;21.7;28.7
"Leyte";4;21.7;18.7;24.6;4;20.8;17.6;23.9;4;20.6;17.8;23.3
"Maguindanao del Norte";..;..;..;..;..;..;..;..;4;28.4;24.7;32.2
"Misamis Occidental b/";5;19.5;16.1;22.8;5;18.3;14.6;21.9;4;22.6;19.7;25.6
"Negros Occidental a/";5;14.5;11.5;17.5;5;16.4;13.7;19.1;4;22.1;18.3;25.9
"Negros Oriental";5;19.4;15.7;23.1;4;23.6;19.5;27.8;4;25.1;20.8;29.4
"Northern Samar";4;27.6;23.7;31.6;5;19.3;16.3;22.3;4;21.8;18.3;25.3
"Occidental Mindoro a/, c/";5;16.1;11.9;20.2;4;23.0;19.1;26.8;4;20.6;15.0;26.2
"Romblon";5;19.7;16.3;23.1;3;31.0;27.5;34.5;4;23.0;19.6;26.3
"Samar";4;22.2;18.3;26.0;4;27.0;23.0;31.1;4;24.9;21.3;28.5
"Sarangani c/";3;36.1;29.7;42.5;3;33.5;28.8;38.2;4;23.1;18.2;27.9
"Sorsogon";5;19.6;16.5;22.7;4;21.7;18.4;25.1;4;28.4;24.7;32.0
"Sultan Kudarat b/, c/";4;24.3;20.4;28.2;4;23.8;19.1;28.5;4;26.4;20.9;31.9
"Zamboanga del Sur";5;17.4;14.9;20.0;5;13.4;11.0;15.7;4;20.0;17.3;22.6
"Agusan del Norte";5;18.9;16.6;21.2;4;23.5;21.1;25.9;5;14.7;12.5;16.9
"Albay b/";5;15.0;12.1;17.9;5;15.4;12.4;18.5;5;18.1;15.5;20.6
"Antique a/, c/";5;12.9;10.3;15.6;5;18.2;14.8;21.7;5;13.8;10.5;17.1
"Aurora a/, b/, c/";5;11.8;9.1;14.5;5;16.5;12.8;20.1;5;11.0;8.5;13.4
"Bohol c/";5;15.5;12.4;18.5;5;19.1;16.2;22.0;5;14.8;11.8;17.8
"Camarines Norte";4;22.4;19.3;25.5;5;16.6;13.4;19.8;5;17.7;15.2;20.2
"Cebu";5;11.3;9.2;13.4;4;22.8;19.7;25.9;5;11.7;10.0;13.4
"Cotabato a/, c/";4;23.6;18.7;28.5;4;23.6;19.1;28.1;5;18.0;13.1;22.8
"Davao Occidental c/";3;31.9;27.7;36.1;3;34.5;29.6;39.4;5;19.8;15.2;24.4
"Iloilo b/";5;12.1;9.9;14.3;5;12.6;9.9;15.4;5;11.1;9.0;13.1
"Isabela City b/, c/";2;41.6;34.7;48.5;5;12.7;9.4;16.1;5;10.0;6.7;13.4
"Lanao del Sur b/, c/";1;64.2;59.5;68.8;6;7.4;5.8;9.0;5;12.1;9.6;14.5
"Masbate c/";4;25.8;22.0;29.6;4;20.2;16.7;23.6;5;12.9;10.2;15.5
"Misamis Oriental";5;11.4;9.8;13.1;5;13.0;11.1;14.8;5;12.0;10.3;13.6
"Mt. Province a/, b/, c/";5;17.1;13.7;20.6;5;15.3;12.1;18.4;5;10.5;7.9;13.1
"Oriental Mindoro a/, b/, c/";6;7.3;4.6;10.0;5;12.8;9.1;16.5;5;14.1;10.7;17.5
"Palawan a/, b/, c/";6;8.2;6.2;10.3;6;9.4;7.4;11.4;5;15.8;11.7;19.8
"Pangasinan a/, c/";6;9.3;7.1;11.5;5;13.9;11.5;16.2;5;11.4;8.7;14.0
"South Cotabato a/, c/";5;13.7;10.8;16.7;5;12.8;10.4;15.1;5;10.1;7.6;12.5
"Sulu r1, c/";1;75.3;71.6;79.0;2;41.5;36.1;46.9;5;13.0;9.9;16.1
"Surigao del Sur c/";5;19.2;15.8;22.6;4;24.0;20.3;27.6;5;10.3;7.9;12.7
"Zambales a/";5;10.9;8.7;13.1;5;17.7;15.3;20.2;5;11.8;9.7;13.8
"Zamboanga Sibugay";4;27.1;22.9;31.3;4;26.0;22.2;29.8;5;17.8;14.9;20.6
"1st District a/, b/, c/";6;1.9;0.8;3.1;6;1.1;0.4;1.8;6;1.6;0.7;2.5
"2nd District a/, b/, c/";6;1.4;0.9;2.0;6;1.6;1.1;2.1;6;0.9;0.6;1.2
"3rd District a/, b/, c/";6;2.2;1.6;2.8;6;3.3;2.6;4.0;6;1.6;1.1;2.1
"4th District a/, c/";6;0.7;0.5;0.9;6;2.5;2.1;3.0;6;0.9;0.6;1.2
"Abra c/";5;14.7;12.2;17.1;5;15.8;12.8;18.8;6;9.4;6.6;12.2
"Aklan a/, b/, c/";6;8.8;6.3;11.2;5;13.9;10.6;17.3;6;3.1;2.1;4.1
"Apayao a/, b/, c/";5;16.0;11.6;20.3;6;4.7;2.6;6.7;6;4.0;1.8;6.2
"Bataan a/, b/, c/";6;5.8;4.2;7.5;6;9.0;7.0;11.0;6;6.6;5.0;8.1
"Batanes a/, b/, c/";6;6.5;4.5;8.6;6;2.6;1.2;4.0;6;3.3;1.6;5.1
"Batangas a/, b/, c/";6;8.6;6.4;10.7;6;4.3;2.7;5.9;6;4.9;3.3;6.4
"Benguet a/, b/, c/";6;4.2;3.1;5.4;6;3.9;3.1;4.7;6;2.5;1.6;3.5
"Biliran c/";5;13.7;11.1;16.3;5;19.9;16.6;23.3;6;8.5;6.7;10.2
"Bulacan a/, b/, c/";6;3.5;2.2;4.9;6;8.3;6.0;10.6;6;6.0;4.5;7.6
"Cagayan b/, c/";5;12.5;10.1;14.9;6;7.3;5.4;9.3;6;5.7;3.8;7.6
"Camiguin b/, c/";5;17.9;14.5;21.4;5;14.7;11.8;17.7;6;9.4;6.8;11.9
"Capiz a/, b/, c/";6;4.1;2.9;5.3;6;6.1;4.1;8.1;6;9.8;7.3;12.4
"Cavite a/, b/, c/";6;3.7;2.4;5.0;6;7.1;5.1;9.1;6;4.3;2.9;5.7
"Davao de Oro c/";5;18.6;15.5;21.6;5;17.7;14.6;20.9;6;7.1;5.2;8.9
