"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence Among Families (%) 2018";"Poverty Incidence Among Families (%) 2021";"Poverty Incidence Among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"PHILIPPINES";25814;28794;33296;12.1;13.2;10.9;1.4;1.4;1.5;0.2;0.2;0.2;12;13;11;13;14;11
"..National Capital Region (NCR)";28682;32978;37711;1.4;2.2;1.1;10.4;6.7;9.9;0.1;0.1;0.1;1;2;1;2;3;1
"....1st District";28682;32978;37711;1.9;1.1;1.6;30.8;32.9;29.6;0.6;0.4;0.5;1;0;1;3;2;3
"....2nd District";28682;32978;37711;1.4;1.6;0.9;20.1;15.9;19.5;0.3;0.3;0.2;1;1;1;2;2;1
"....3rd District";28682;32978;37711;2.2;3.3;1.6;13.8;10.8;15.5;0.3;0.4;0.3;2;3;1;3;4;2
"....4th District";28682;32978;37711;0.7;2.5;0.9;14.5;9.0;16.4;0.1;0.2;0.1;1;2;1;1;3;1
"..Cordillera Administrative Region (CAR)";24907;28304;31774;8.6;6.9;4.4;5.3;5.4;7.9;0.5;0.4;0.3;8;6;4;10;8;5
"....Abra";23596;29321;30759;14.7;15.8;9.4;8.6;9.6;15.3;1.3;1.5;1.4;12;13;7;17;19;12
"....Apayao";23135;25694;29884;16.0;4.7;4.0;13.8;22.9;27.6;2.2;1.1;1.1;12;3;2;20;7;6
"....Benguet";24158;27519;31243;4.2;3.9;2.5;14.1;10.9;18.5;0.6;0.4;0.5;3;3;2;5;5;4
"....Ifugao";26429;28734;29994;9.9;6.0;4.6;15.1;18.2;14.6;1.5;1.1;0.7;7;4;3;13;8;6
"....Kalinga";24219;25447;30353;9.2;5.6;2.6;12.5;18.7;22.4;1.1;1.0;0.6;7;4;1;11;8;4
"....Mt. Province";27815;31063;36120;17.1;15.3;10.5;10.3;10.5;12.5;1.8;1.6;1.3;14;12;8;21;18;13
"..Region I (Ilocos Region)";27055;31113;34454;7.0;11.0;8.4;9.6;6.8;9.8;0.7;0.7;0.8;6;10;7;8;12;10
"....Ilocos Norte";26711;31031;35139;3.1;1.7;0.3;22.2;28.4;49.2;0.7;0.5;0.1;2;1;0;4;3;1
"....Ilocos Sur";24603;32752;35599;5.5;11.5;5.2;14.6;10.4;16.5;0.8;1.2;0.9;4;9;4;7;14;7
"....La Union";22456;27909;33304;2.9;6.6;6.3;19.6;13.3;14.5;0.6;0.9;0.9;2;5;5;4;8;8
"....Pangasinan";27828;31240;34502;9.3;13.9;11.4;12.0;8.7;12.0;1.1;1.2;1.4;7;12;9;12;16;14
"..Region II (Cagayan Valley)";25099;28292;32160;12.5;11.7;7.2;6.4;7.1;8.3;0.8;0.8;0.6;11;10;6;14;13;8
"....Batanes";37540;35550;39826;6.5;2.6;3.3;15.9;27.5;27.0;1.0;0.7;0.9;5;1;2;9;4;5
"....Cagayan";24759;26954;30055;12.5;7.3;5.7;9.7;13.6;16.7;1.2;1.0;1.0;10;5;4;15;9;8
"....Isabela";25460;29452;34500;13.2;15.9;8.4;10.6;9.8;12.6;1.4;1.6;1.1;11;13;6;16;19;10
"....Nueva Vizcaya";24857;25514;28778;11.6;10.8;7.3;12.9;13.9;13.7;1.5;1.5;1.0;9;8;5;15;14;9
"....Quirino";23580;27060;29189;8.9;6.2;6.7;11.4;14.6;14.0;1.0;0.9;0.9;7;4;5;11;8;9
"..Region III (Central Luzon)";26954;31584;38510;5.2;8.3;5.7;6.4;5.7;6.2;0.3;0.5;0.4;5;7;5;6;9;6
"....Aurora";25219;30282;33172;11.8;16.5;11.0;11.6;11.3;11.6;1.4;1.9;1.3;9;13;9;15;20;13
"....Bataan";29496;31046;35822;5.8;9.0;6.6;14.4;11.3;12.2;0.8;1.0;0.8;4;7;5;8;11;8
"....Bulacan";27244;33591;41511;3.5;8.3;6.0;19.3;14.2;12.7;0.7;1.2;0.8;2;6;5;5;11;8
"....Nueva Ecija";25466;29751;36339;6.6;10.0;6.9;13.4;12.7;15.3;0.9;1.3;1.0;5;8;5;8;12;9
