"Table 1a. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Families (%) 2018";"Poverty Incidence among Families (%) 2021";"Poverty Incidence among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";25814;28794;33296;12.1;13.2;10.9;1.4;1.4;1.5;0.2;0.2;0.2;11.8;12.8;10.6;12.5;13.5;11.2
"..National Capital Region (NCR) 1/, 2/, a/";28682;32978;37711;1.4;2.2;1.1;10.4;6.7;9.9;0.1;0.1;0.1;1.1;1.9;0.9;1.7;2.5;1.4
"....1st District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"......City of Manila a/, b/, c/";28682;32978;37711;1.9;1.1;1.6;30.8;32.9;29.6;0.6;0.4;0.5;0.8;0.4;0.7;3.1;1.8;2.5
"....2nd District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"......City of Mandaluyong a/, b/, c/";28682;32978;37711;0.9;0.4;0.3;37.6;50.8;49.6;0.3;0.2;0.2;0.2;0.0;0.0;1.5;0.8;0.6
"......City of Marikina 2/, a/, b/, c/";28682;32978;37711;1.5;1.6;0.7;26.8;22.4;39.4;0.4;0.4;0.3;0.7;0.9;0.1;2.3;2.3;1.2
"......City of Pasig a/, b/, c/";28682;32978;37711;1.8;2.2;2.1;24.6;20.1;23.5;0.4;0.4;0.5;0.9;1.3;1.1;2.6;3.1;3.0
"......Quezon City 2/, a/, b/, c/";28682;32978;37711;1.5;1.8;0.7;30.4;23.0;34.1;0.4;0.4;0.3;0.6;1.0;0.2;2.3;2.6;1.2
"......City of San Juan *, **, a/";28682;32978;37711;0.4;-;-;70.3;-;-;0.3;-;-;0.0;-;-;1.1;-;-
"....3rd District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"......City of Caloocan 2/, a/, b/, c/";28682;32978;37711;3.1;4.2;1.9;16.6;14.6;23.2;0.5;0.6;0.4;2.1;3.0;1.1;4.1;5.4;2.8
"......City of Malabon 1/, 2/, a/, b/, c/";28682;32978;37711;1.2;2.9;1.5;26.3;17.5;21.0;0.3;0.5;0.3;0.6;1.9;0.9;1.9;3.9;2.2
"......City of Navotas a/, b/, c/";28682;32978;37711;2.4;3.1;2.5;24.3;16.6;16.8;0.6;0.5;0.4;1.3;2.1;1.7;3.5;4.1;3.4
"......City of Valenzuela 1/, a/, b/, c/";28682;32978;37711;0.5;1.5;0.7;46.6;20.2;32.5;0.2;0.3;0.2;0.0;0.9;0.3;0.9;2.1;1.2
"....4th District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"......City of Las Piñas 1/, 2/, a/, b/, c/";28682;32978;37711;1.0;2.5;0.7;33.1;21.0;35.0;0.3;0.5;0.3;0.3;1.5;0.2;1.6;3.5;1.2
"......City of Makati 1/, a/, b/, c/";28682;32978;37711;0.2;0.8;0.6;71.7;36.5;49.5;0.1;0.3;0.3;0.0;0.2;0.0;0.4;1.3;1.1
"......City of Muntinlupa 1/, 2/, 3/, a/, b/, c/";28682;32978;37711;0.8;1.7;0.1;29.5;21.9;100.0;0.2;0.4;0.1;0.3;1.0;0.0;1.3;2.4;0.2
"......City of Parañaque 1/, 2/, a/, b/, c/";28682;32978;37711;0.5;2.5;0.6;43.7;24.1;48.2;0.2;0.6;0.3;0.1;1.3;0.0;1.0;3.6;1.1
"......Pasay City 2/, 3/, a/, b/, c/";28682;32978;37711;1.5;2.3;0.5;23.0;20.3;67.3;0.3;0.5;0.3;0.8;1.4;0.0;2.1;3.2;1.1
"......Pateros 2/, a/, b/, c/";28682;32978;37711;1.8;2.9;0.8;34.6;24.0;48.5;0.6;0.7;0.4;0.6;1.5;0.0;3.0;4.3;1.6
"......City of Taguig 1/, 2/, 3/, a/, b/, c/";28682;32978;37711;0.5;4.5;2.0;43.6;14.3;22.6;0.2;0.6;0.4;0.1;3.2;1.1;1.0;5.7;2.9
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";24907;28304;31774;8.6;6.9;4.4;5.3;5.4;7.9;0.5;0.4;0.3;7.7;6.1;3.7;9.5;7.6;5.1
"....Abra 2/, 3/, c/";23596;29321;30759;14.7;15.8;9.4;8.6;9.6;15.3;1.3;1.5;1.4;12.2;12.8;6.6;17.1;18.8;12.2
"....Apayao 1/, 3/, a/, b/, c/";23135;25694;29884;16.0;4.7;4.0;13.8;22.9;27.6;2.2;1.1;1.1;11.6;2.6;1.8;20.3;6.7;6.2
"....Benguet (w/o the City of Baguio) a/, b/, c/";24065;27432;31205;6.6;6.2;4.2;16.1;11.9;19.7;1.1;0.7;0.8;4.5;4.8;2.6;8.6;7.7;5.8
"....City of Baguio 3/, a/, b/, c/";24620;28108;31654;1.5;1.0;0.5;24.0;26.1;39.3;0.4;0.3;0.2;0.8;0.5;0.1;2.2;1.6;0.9
"....Ifugao 1/, 3/, a/, b/, c/";26429;28734;29994;9.9;6.0;4.6;15.1;18.2;14.6;1.5;1.1;0.7;7.0;3.9;3.3;12.9;8.2;5.9
"....Kalinga 1/, 2/, 3/, a/, b/, c/";24219;25447;30353;9.2;5.6;2.6;12.5;18.7;22.4;1.1;1.0;0.6;6.9;3.6;1.4;11.4;7.7;3.7
"....Mt. Province 2/, 3/, a/, b/, c/";27815;31063;36120;17.1;15.3;10.5;10.3;10.5;12.5;1.8;1.6;1.3;13.7;12.1;7.9;20.6;18.4;13.1
"..Region I (Ilocos Region) 1/, 2/";27055;31113;34454;7.0;11.0;8.4;9.6;6.8;9.8;0.7;0.7;0.8;5.7;9.5;6.8;8.3;12.4;10.0
"....Ilocos Norte 2/, 3/, a/, b/, c/";26711;31031;36096;3.1;1.7;0.3;22.2;28.4;49.2;0.7;0.5;0.1;1.7;0.8;0.0;4.4;2.7;0.5
"....Ilocos Sur 1/, 2/, a/, b/, c/";24603;32752;35599;5.5;11.5;5.2;14.6;10.4;16.5;0.8;1.2;0.9;3.9;9.2;3.5;7.0;13.8;6.8
"....La Union 1/, 3/, a/, b/, c/";22456;27909;33304;2.9;6.6;6.3;19.6;13.3;14.5;0.6;0.9;0.9;1.8;4.9;4.5;4.0;8.4;8.1
"....Pangasinan 1/, a/, c/";27828;31240;34502;9.3;13.9;11.4;12.0;8.7;12.0;1.1;1.2;1.4;7.1;11.5;8.7;11.5;16.2;14.0
"..Region II (Cagayan Valley) 2/, 3/";25099;28292;32160;12.5;11.7;7.2;6.4;7.1;8.3;0.8;0.8;0.6;10.9;10.1;6.0;14.0;13.3;8.4
"....Batanes 1/, 3/, a/, b/, c/";37540;35550;39826;6.5;2.6;3.3;15.9;27.5;27.0;1.0;0.7;0.9;4.5;1.2;1.6;8.6;4.0;5.1
"....Cagayan 1/, 3/, b/, c/";24759;26954;30055;12.5;7.3;5.7;9.7;13.6;16.7;1.2;1.0;1.0;10.1;5.4;3.8;14.9;9.3;7.6
"....Isabela 2/, 3/, a/, c/";25460;29452;34500;13.2;15.9;8.4;10.6;9.8;12.6;1.4;1.6;1.1;10.5;12.9;6.3;15.9;19.0;10.4
"....Nueva Vizcaya 2/, 3/, a/, b/, c/";24857;25514;28778;11.6;10.8;7.3;12.9;13.9;13.7;1.5;1.5;1.0;8.7;7.9;5.3;14.6;13.8;9.2
"....Quirino 1/, a/, b/, c/";23580;27060;29189;8.9;6.2;6.7;11.4;14.6;14.0;1.0;0.9;0.9;6.9;4.4;4.8;10.9;7.9;8.5
"..Region III (Central Luzon) 1/, 2/";26954;31584;38510;5.2;8.3;5.7;6.4;5.7;6.2;0.3;0.5;0.4;4.5;7.4;5.0;5.8;9.2;6.4
"....Aurora 1/, 2/, a/, b/, c/";25219;30282;33172;11.8;16.5;11.0;11.6;11.3;11.6;1.4;1.9;1.3;9.1;12.8;8.5;14.5;20.1;13.4
"....Bataan 1/, a/, b/, c/";29496;31046;35822;5.8;9.0;6.6;14.4;11.3;12.2;0.8;1.0;0.8;4.2;7.0;5.0;7.5;11.0;8.1
"....Bulacan 1/, 3/, a/, b/, c/";27244;33591;41511;3.5;8.3;6.0;19.3;14.2;12.7;0.7;1.2;0.8;2.2;6.0;4.5;4.9;10.6;7.6
