"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";25814;28794;33296;16.7;18.1;15.5;1.3;1.3;1.4;0.2;0.2;0.2;16;18;15;17;19;16
"..National Capital Region (NCR) 1/, 2/, a/";28682;32978;37711;2.2;3.5;1.8;11.4;6.8;9.9;0.3;0.2;0.2;2;3;2;3;4;2
"....1st District a/, b/, c/";28682;32978;37711;3.0;1.7;2.4;30.2;32.9;27.0;0.9;0.6;0.6;1;1;1;5;3;4
"....2nd District 2/, a/, b/, c/";28682;32978;37711;2.3;2.8;1.5;23.1;15.7;21.1;0.5;0.4;0.3;1;2;1;3;4;2
"....3rd District 1/, 2/, a/, b/, c/";28682;32978;37711;3.3;4.9;2.6;14.8;10.6;16.0;0.5;0.5;0.4;2;4;2;4;6;3
"....4th District 1/, 2/, a/, c/";28682;32978;37711;1.1;4.1;1.5;15.1;8.9;16.8;0.2;0.4;0.2;1;3;1;1;5;2
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";24907;28304;31774;12.0;9.9;7.0;5.2;5.2;7.5;0.6;0.5;0.5;11;9;6;13;11;8
"....Abra 2/, c/";23596;29321;30759;18.6;21.5;13.7;8.3;8.9;14.7;1.6;1.9;2.0;16;18;10;22;25;18
"....Apayao 1/, 3/, a/, b/, c/";23135;25694;29884;19.7;6.8;5.8;13.5;21.0;26.6;2.7;1.4;1.5;15;4;3;25;10;9
"....Benguet a/, b/, c/";24158;27519;31243;6.0;5.6;4.0;14.1;10.8;18.2;0.8;0.6;0.7;4;4;3;8;7;6
"....Ifugao 1/, 3/, a/, b/, c/";26429;28734;29994;14.5;8.1;7.4;14.4;17.6;15.2;2.1;1.4;1.1;10;5;5;19;11;10
"....Kalinga 2/, 3/, a/, b/, c/";24219;25447;30353;12.1;8.3;4.3;12.7;18.6;22.8;1.5;1.5;1.0;9;5;2;15;11;6
"....Mt. Province 3/, c/";27815;31063;36120;24.6;22.2;16.8;9.9;9.4;11.5;2.4;2.1;1.9;20;18;13;29;26;21
"..Region I (Ilocos Region) 1/";27055;31113;34454;9.9;14.4;11.9;8.9;6.5;9.5;0.9;0.9;1.1;8;13;10;12;16;14
"....Ilocos Norte 2/, 3/, a/, b/, c/";26711;31031;35139;4.5;2.5;0.5;20.2;25.8;52.0;0.9;0.6;0.3;3;1;0;6;4;1
"....Ilocos Sur 1/, 2/, a/, b/, c/";24603;32752;35599;7.5;15.1;7.0;14.5;10.3;16.3;1.1;1.6;1.1;5;12;5;10;18;9
"....La Union 1/, 3/, a/, b/, c/";22456;27909;33304;4.4;9.3;8.7;20.2;12.7;14.9;0.9;1.2;1.3;3;7;6;6;12;11
"....Pangasinan 1/, a/, c/";27828;31240;34502;12.9;17.9;16.1;11.2;8.3;11.6;1.4;1.5;1.9;10;15;12;16;21;20
"..Region II (Cagayan Valley) 2/, 3/";25099;28292;32160;16.3;15.4;10.4;6.1;6.8;8.1;1.0;1.0;0.8;14;13;9;18;17;12
