"Table 2a. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision,  by Region, Province and Highly Urbanized Cities:  2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";25814;28794;33296;17;18;16;1;1;1;0;0;0;16;18;15;17;19;16
"..National Capital Region (NCR) 1/, 2/, a/";28682;32978;37711;2;4;2;11;7;10;0;0;0;2;3;2;3;4;2
"....1st District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"....City of Manila a/, b/, c/";28682;32978;37711;3;2;2;30;33;27;1;1;1;1;1;1;5;3;4
"....2nd District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"....City of Mandaluyong a/, b/, c/";28682;32978;37711;1;1;1;39;52;53;1;0;0;0;0;0;2;1;1
"....City of Marikina 2/, a/, b/, c/";28682;32978;37711;2;3;1;27;22;42;1;1;0;1;1;0;3;4;2
"....City of Pasig a/, b/, c/";28682;32978;37711;3;4;3;26;20;26;1;1;1;1;2;2;4;5;5
"....Quezon City 2/, a/, b/, c/";28682;32978;37711;2;3;1;33;22;35;1;1;0;1;2;0;4;4;2
"....City of San Juan *, **, a/";28682;32978;37711;1;-;-;74;-;-;1;-;-;0;-;-;2;-;-
"....3rd District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"....City of Caloocan 2/, a/, b/, c/";28682;32978;37711;5;6;3;17;14;23;1;1;1;3;4;2;6;8;4
"....City of Malabon 1/, 2/, a/, b/, c/";28682;32978;37711;2;5;2;27;18;22;1;1;1;1;3;1;3;6;3
"....City of Navotas a/, b/, c/";28682;32978;37711;3;5;4;23;17;17;1;1;1;2;3;3;5;7;5
"....City of Valenzuela 1/, a/, b/, c/";28682;32978;37711;1;2;1;48;20;33;0;0;0;0;1;0;1;3;2
"....4th District";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"....City of Las Piñas 1/, 2/, a/, b/, c/";28682;32978;37711;2;4;1;32;20;35;1;1;0;1;2;0;3;5;2
"....City of Makati 1/, a/, b/, c/";28682;32978;37711;0;2;1;73;37;52;0;1;1;0;0;0;1;3;2
"....City of Muntinlupa 1/, 2/, 3/, a/, b/, c/";28682;32978;37711;1;3;0;32;23;100;0;1;0;0;1;0;2;4;0
"....City of Parañaque 1/, 2/, a/, b/, c/";28682;32978;37711;1;4;1;46;23;48;0;1;1;0;2;0;2;6;2
"....Pasay City 2/, 3/, a/, b/, c/";28682;32978;37711;2;4;1;24;22;67;1;1;1;1;2;0;3;6;2
"....Pateros 2/, a/, b/, c/";28682;32978;37711;3;5;1;40;24;49;1;1;1;1;2;0;5;7;3
"....City of Taguig 1/, 2/, 3/, a/, b/, c/";28682;32978;37711;1;7;3;45;14;24;0;1;1;0;5;2;1;8;5
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";24907;28304;31774;12;10;7;5;5;8;1;1;1;11;9;6;13;11;8
"....Abra 2/, c/";23596;29321;30759;19;22;14;8;9;15;2;2;2;16;18;10;22;25;18
"....Apayao 1/, 3/, a/, b/, c/";23135;25694;29884;20;7;6;14;21;27;3;1;2;15;4;3;25;10;9
"....Benguet (w/o the City of Baguio) a/, b/, c/";24065;27432;31205;9;9;6;16;12;19;1;1;1;6;7;4;12;11;9
"....City of Baguio 3/, a/, b/, c/";24620;28108;31654;2;2;1;24;27;42;1;1;0;1;1;0;3;3;2
"....Ifugao 1/, 3/, a/, b/, c/";26429;28734;29994;15;8;7;14;18;15;2;1;1;10;5;5;19;11;10
"....Kalinga 2/, 3/, a/, b/, c/";24219;25447;30353;12;8;4;13;19;23;2;2;1;9;5;2;15;11;6
"....Mt. Province 3/, c/";27815;31063;36120;25;22;17;10;9;12;2;2;2;20;18;13;29;26;21
"..Region I (Ilocos Region) 1/";27055;31113;34454;10;14;12;9;7;10;1;1;1;8;13;10;12;16;14
"....Ilocos Norte 2/, 3/, a/, b/, c/";26711;31031;36096;5;3;1;20;26;52;1;1;0;3;1;0;6;4;1
"....Ilocos Sur 1/, 2/, a/, b/, c/";24603;32752;35599;8;15;7;15;10;16;1;2;1;5;12;5;10;18;9
"....La Union 1/, 3/, a/, b/, c/";22456;27909;33304;4;9;9;20;13;15;1;1;1;3;7;6;6;12;11
"....Pangasinan 1/, a/, c/";27828;31240;34502;13;18;16;11;8;12;1;2;2;10;15;12;16;21;20
"..Region II (Cagayan Valley) 2/, 3/";25099;28292;32160;16;15;10;6;7;8;1;1;1;14;13;9;18;17;12
"....Batanes 1/, 3/, a/, b/, c/";37540;35550;39826;10;3;4;17;28;25;2;1;1;6;2;2;13;5;7
"....Cagayan 1/, 3/, b/, c/";24759;26954;30055;16;10;8;9;13;16;2;1;1;13;8;6;19;13;11
"....Isabela 2/, 3/, a/, c/";25460;29452;34500;17;20;12;10;9;12;2;2;1;14;17;9;21;24;15
"....Nueva Vizcaya a/, b/, c/";24857;25514;28778;16;15;12;13;13;14;2;2;2;12;11;8;20;19;15
"....Quirino a/, b/, c/";23580;27060;29189;13;9;10;12;14;14;1;1;1;10;7;8;15;12;13
"..Region III (Central Luzon) 1/, 2/";26954;31584;38510;7;11;8;6;6;6;0;1;1;6;10;7;8;13;9
"....Aurora 2/, a/, b/, c/";25219;30282;33172;16;22;15;11;11;11;2;2;2;13;17;12;20;26;19
"....Bataan 1/, a/, b/, c/";29496;31046;35822;8;12;9;14;10;12;1;1;1;6;9;7;10;14;11
"....Bulacan 1/, 3/, a/, b/, c/";27244;33591;41511;5;11;9;19;15;12;1;2;1;3;8;7;7;14;11
